Date,AUDUSD,CADUSD,CHFUSD,DKKUSD,EURUSD,GBPUSD,JPYUSD,NOKUSD,NZDUSD,SEKUSD,USD
2000-01-03 16:00:00+00:00,,6.18,,5.01,4.515,,0.45,6.2507,,5.36,6.87
2000-01-03 22:00:00+00:00,6.885,6.18,,5.01,4.515,7.075,0.45,6.2507,,5.36,6.92
2000-01-04 16:00:00+00:00,6.93,6.22,2.86,5.0,4.555,7.075,0.525,6.2722,,5.385,6.86
2000-01-04 22:00:00+00:00,6.91,6.24,2.86,5.0,4.555,7.075,0.525,6.2722,7.175,5.385,6.855
2000-01-05 16:00:00+00:00,6.83,6.32,2.87,4.98,4.535,7.115,0.505,6.42,7.25,5.375,6.89
2000-01-05 22:00:00+00:00,6.91,6.29,2.87,4.98,4.535,7.115,0.505,6.42,7.25,5.38,6.91
2000-01-06 16:00:00+00:00,6.885,6.26,2.88,4.99,4.585,7.1041,0.51,6.3047,7.265,5.425,6.88
2000-01-06 22:00:00+00:00,6.88,6.23,2.88,4.99,4.585,7.1499,0.51,6.3047,7.25,5.425,6.86
2000-01-07 16:00:00+00:00,6.91,6.25,2.89,4.935,4.525,7.0355,0.54,6.3291,7.28,5.325,6.87
2000-01-07 22:00:00+00:00,6.91,6.22,2.89,4.935,4.525,7.055,0.54,6.3291,7.28,5.325,6.85
2000-01-10 16:00:00+00:00,6.95,6.27,2.9,4.87,4.435,7.035,0.54,6.2945,7.31,5.275,6.89
2000-01-10 22:00:00+00:00,7.0,6.23,2.9,4.87,4.435,7.035,0.54,6.2945,7.335,5.275,6.89
2000-01-11 16:00:00+00:00,6.99,6.3,2.95,4.93,4.52,7.065,0.565,6.3513,7.3,5.335,6.96
2000-01-11 22:00:00+00:00,7.045,6.3,2.95,4.93,4.52,7.065,0.565,6.3513,7.4,5.335,6.96
2000-01-12 16:00:00+00:00,7.005,6.3,2.93,4.965,4.535,7.0523,0.58,6.485,7.33,5.335,6.97
2000-01-12 22:00:00+00:00,7.025,6.31,2.93,4.965,4.535,7.055,0.58,6.485,7.335,5.335,6.985
2000-01-13 16:00:00+00:00,7.0,6.28,2.93,4.965,4.5025,7.038,0.5627,6.3877,7.305,5.29,6.95
2000-01-13 22:00:00+00:00,6.945,6.25,2.93,4.965,4.5025,7.038,0.5627,6.3877,7.255,5.29,6.925
2000-01-14 16:00:00+00:00,7.0,6.28,2.95,4.925,4.5,7.055,0.54,6.455,7.37,5.235,6.955
2000-01-14 22:00:00+00:00,7.0,6.29,2.95,4.925,4.5,7.045,0.54,6.455,7.37,5.235,6.95
2000-01-17 16:00:00+00:00,7.01,6.29,2.96,4.99,4.5125,7.0779,0.5627,6.5,7.315,5.255,6.95
2000-01-17 22:00:00+00:00,6.975,6.29,2.96,4.99,4.5125,7.0779,0.5627,6.5,7.36,5.265,6.95
2000-01-18 16:00:00+00:00,6.97,6.33,3.02,5.005,4.5425,7.13,0.51,6.54,7.325,5.345,7.0
2000-01-18 22:00:00+00:00,7.04,6.34,3.02,5.005,4.5425,7.13,0.51,6.54,7.455,5.345,6.99
2000-01-19 16:00:00+00:00,7.02,6.34,2.97,4.975,4.5075,7.0713,0.5075,6.47,7.435,5.345,6.95
2000-01-19 22:00:00+00:00,7.01,6.375,2.97,4.975,4.5075,7.0713,0.5075,6.47,7.5,5.345,6.98
2000-01-20 16:00:00+00:00,7.0,6.35,3.05,5.0,4.49,7.075,0.5,6.5,7.365,5.345,6.96
2000-01-20 22:00:00+00:00,7.025,6.38,3.05,5.0,4.49,7.065,0.5,6.5,7.38,5.345,7.0
2000-01-21 16:00:00+00:00,7.03,6.34,3.05,5.025,4.5175,7.1098,0.4975,6.48,7.405,5.39,6.98
2000-01-21 22:00:00+00:00,7.03,6.34,3.05,5.025,4.5175,7.1098,0.4975,6.48,7.405,5.39,6.95
2000-01-24 16:00:00+00:00,7.05,6.28,3.06,5.025,4.5375,7.055,0.46,6.51,7.4,5.365,6.93
